 -----Test Name  T3-2015 Blonde Monent,,,,,,,,,,
 -----Measure Parameters    PTVEC,,,,,,,,,,
 -----Test Code  T3,,,,,,,,,,
 -----Scan Type   Linear,,,,,,,,,,
 -----Periods  00_00:10:00.00,,,,,,,,,,
 -----Memory Wrap  True,,,,,,,,,,
 -----Broadcast Normal Log  False,,,,,,,,,,
 -----Broadcast Alarm Log  False,,,,,,,,,,
 -----Alarm Scan  Disabled,,,,,,,,,,
 -----Scanned Upto =  30000,,,,,,,,,,
 -----Firmware Version  2.4,,,,,,,,,,
 -----TruWare v1.78,,,,,,,,,,
 ,,,,,,,,,,
 ,,,,,,,,,,
ID,Name,Address,Time of Acquisition,Elapsed(Sec),Level(cmH2O),Temperature ('C),Battery Voltage(Volt),Supply Voltage(Volt),Conductivity(uS/cm),Scan No
0,1404704,0,'11/17/2015 08:55:00.00 PM,15209700,14.1685796,9.487,3.516,0,143.4,23351
0,1404704,0,'11/17/2015 09:10:00.00 PM,15210600,14.01379053,9.504,3.516,0,143.7,23352
0,1404704,0,'11/17/2015 09:25:00.00 PM,15211500,13.98558952,9.495,3.516,0,143.7,23353
0,1404704,0,'11/17/2015 09:40:00.00 PM,15212400,13.96463217,9.488,3.516,0,143.6,23354
0,1404704,0,'11/17/2015 09:55:00.00 PM,15213300,13.96850013,9.499,3.516,0,143.6,23355
0,1404704,0,'11/17/2015 10:10:00.00 PM,15214200,13.96259269,9.501,3.516,0,143.7,23356
0,1404704,0,'11/17/2015 10:25:00.00 PM,15215100,13.96006093,9.493,3.516,0,143.9,23357
0,1404704,0,'11/17/2015 10:40:00.00 PM,15216000,13.94472971,9.5,3.516,0,143.9,23358
0,1404704,0,'11/17/2015 10:55:00.00 PM,15216900,13.93368842,9.497,3.516,0,143.7,23359
0,1404704,0,'11/17/2015 11:10:00.00 PM,15217800,13.92728869,9.491,3.516,0,143.8,23360
0,1404704,0,'11/17/2015 11:25:00.00 PM,15218700,13.93607953,9.494,3.516,0,143.9,23361
0,1404704,0,'11/17/2015 11:40:00.00 PM,15219600,13.93854096,9.499,3.516,0,143.3,23362
0,1404704,0,'11/17/2015 11:55:00.00 PM,15220500,13.92081863,9.496,3.516,0,143.9,23363
0,1404704,0,'11/18/2015 12:10:00.00 AM,15221400,13.91927144,9.492,3.516,0,144,23364
